Zeile; X-Koordinate; Y-Koordinate; Z-Koordinate; X-Vektor; Y-Vektor; Z-Vektor
0;3,5;1,22E-16;0;0,077801922;0,134756882;-0,98781954
1;3,383956391;0,16402846;-1,210787001;-0,260783479;0,131324838;-0,956423423
2;2,869938144;0,32397079;-2,313920323;-0,564171752;0,12806023;-0,81566587
3;2,023216896;0,480083753;-3,189445359;-0,796289717;0,125131466;-0,591831736
4;0,940373246;0,632609153;-3,748290694;-0,943074441;0,122291569;-0,309282025
5;-0,26326388;0,78183484;-3,942562179;-0,992810594;0,119674211;-0,002281923
6;-1,469120135;0,927902236;-3,758134518;-0,947685771;0,117249703;0,296890867
7;-2,5650658;1,071057726;-3,221530655;-0,816062511;0,114902057;0,566426955
8;-3,455325165;1,211433002;-2,386001219;-0,617813691;0,112771611;0,778195867
9;-4,06670401;1,349192929;-1,32882598;-0,368046978;0,110661859;0,923198448
10;-4,354665564;1,484490997;-0,14145024;-0,095762734;0,108749555;0,989445821
11;-4,2996238;1,617421121;1,079411097;0,182110419;0,10686189;0,977454005
12;-3,913864549;1,748148806;2,239488421;0,440042817;0,105113698;0,89180347
13;-3,228607998;1,876726393;3,252311319;0,662518951;0,103427744;0,741870165
14;-2,30027737;2,003311599;4,048791695;0,834517874;0,101824136;0,541490316
15;-1,195311374;2,127939666;4,574182472;0,946288842;0,100302198;0,307370942
16;0,007544623;2,250750457;4,799439232;0,993579394;0,098833633;0,055062691
17;1,228429595;2,371770712;4,711039165;0,975753273;0,097440852;-0,19598681
18;2,389192712;2,491124569;4,321780054;0,896407276;0,096090901;-0,432689883
19;3,417649355;2,608831744;3,657044337;0,763765088;0,094808338;-0,638493751
20;4,25482528;2,725004301;2,763060892;0,586489288;0,093563599;-0,804534753
21;4,851684186;2,839655231;1,693276857;0,378104581;0,092375882;-0,921142563
22;5,179532977;2,952887373;0,512742371;0,150389816;0,091224693;-0,984408939
23;5,220280974;3,064707644;-0,711993196;-0,082953603;0,090119869;-0,992470206
24;4,978102128;3,175210128;-1,913442462;-0,308472638;0,089065426;-0,947054371
25;4,466240912;3,284400224;-3,027213614;-0,516430038;0,08802089;-0,851793601
